,index,Country or Area,Year,Commodity,Trade (USD),Weight (kg),Quantity
0,38,Albania,2016,"Bovine edible offal, fresh or chilled",255204.0,36796.0,36796.0
1,132,Albania,2012,"Bovine cuts boneless, frozen",1.0,25994.0,25994.0
2,147,Albania,2012,"Bovine edible offal, fresh or chilled",3719435.0,422161.0,422161.0
3,195,Albania,2011,"Bovine edible offal, fresh or chilled",740787.0,78635.0,78635.0
4,239,Albania,2010,"Bovine edible offal, fresh or chilled",571303.0,78434.0,78434.0
5,287,Albania,2009,"Bovine edible offal, fresh or chilled",3976128.0,464947.0,464947.0
6,382,Albania,2007,"Bovine edible offal, fresh or chilled",6269.0,20800.0,20800.0
7,412,Albania,2006,"Bovine cuts boneless, frozen",6524.0,5600.0,5600.0
8,430,Albania,2006,"Bovine edible offal, fresh or chilled",30014.0,4170.0,4170.0
9,431,Albania,2006,"Bovine edible offal, fresh or chilled",30014.0,4170.0,4170.0
10,436,Albania,2006,"Bovine edible offal, frozen except livers and tongues",20921.0,15000.0,15000.0
11,437,Albania,2006,"Bovine edible offal, frozen except livers and tongues",17521.0,8600.0,8600.0
12,488,Albania,2005,"Bovine edible offal, fresh or chilled",264273.0,104610.0,104610.0
13,489,Albania,2005,"Bovine edible offal, fresh or chilled",235113.0,75790.0,75790.0
14,554,Albania,2003,"Bovine carcasses and half carcasses, fresh or chilled",103857.0,17078.0,17078.0
15,557,Albania,2003,"Bovine cuts boneless, fresh or chilled",4232.0,2538.0,2538.0
16,599,Albania,2002,"Bovine cuts bone in, frozen",3781.0,2500.0,2500.0
17,601,Albania,2002,"Bovine cuts boneless, frozen",15872.0,42120.0,42120.0
18,722,Albania,1999,"Bovine carcasses and half carcasses, fresh or chilled",3188.0,20210.0,20210.0
19,764,Albania,1999,"Bovine meat salted, dried or smoked",7816.0,7062.0,7062.0
20,827,Albania,1997,"Bovine edible offal, frozen except livers and tongues",18225.0,18000.0,18000.0
21,1112,Algeria,2007,"Bovine carcasses and half carcasses, fresh or chilled",88298.0,9083.0,9083.0
22,1113,Algeria,2007,"Bovine cuts bone in, fresh or chilled",907.0,115.0,115.0
23,1115,Algeria,2007,"Bovine cuts boneless, fresh or chilled",8965.0,583.0,583.0
24,1118,Algeria,2007,"Bovine cuts boneless, frozen",4798.0,21900.0,21900.0
25,1129,Algeria,2007,"Bovine edible offal, fresh or chilled",36934.0,6720.0,6720.0
26,1131,Algeria,2007,"Bovine edible offal, frozen except livers and tongues",103.0,7.0,7.0
27,1148,Algeria,2006,"Bovine carcasses and half carcasses, fresh or chilled",1618.0,137.0,137.0
28,1150,Algeria,2006,"Bovine cuts bone in, fresh or chilled",110353.0,22976.0,22976.0
29,1203,Algeria,2004,"Bovine carcasses and half carcasses, fresh or chilled",7724.0,662.0,662.0
30,1205,Algeria,2004,"Bovine cuts bone in, fresh or chilled",69065.0,7492.0,7492.0
31,1207,Algeria,2004,"Bovine cuts boneless, fresh or chilled",5071.0,429.0,429.0
32,1209,Algeria,2004,"Bovine carcasses and half carcasses, frozen",210.0,40.0,40.0
33,1223,Algeria,2004,"Bovine edible offal, frozen except livers and tongues",105.0,15.0,15.0
34,1231,Algeria,2003,"Bovine carcasses and half carcasses, fresh or chilled",1113.0,145.0,145.0
35,1232,Algeria,2003,"Bovine cuts bone in, fresh or chilled",19586.0,2562.0,2562.0
36,1234,Algeria,2003,"Bovine cuts boneless, fresh or chilled",547.0,71.0,71.0
37,1249,Algeria,2003,"Bovine edible offal, fresh or chilled",46.0,8.0,8.0
38,1259,Algeria,2002,"Bovine carcasses and half carcasses, fresh or chilled",6841.0,1056.0,1056.0
39,1261,Algeria,2002,"Bovine cuts bone in, fresh or chilled",1466.0,203.0,203.0
40,1263,Algeria,2002,"Bovine cuts boneless, fresh or chilled",5659.0,823.0,823.0
41,1278,Algeria,2002,"Bovine livers, frozen",606.0,81.0,81.0
42,1315,Algeria,2000,"Bovine cuts boneless, frozen",69289.0,53674.0,53674.0
43,1365,Algeria,1998,"Bovine cuts boneless, frozen",89024.0,30128.0,30128.0
44,1413,Algeria,1996,"Bovine cuts boneless, frozen",74081.0,25608.0,25608.0
45,1533,Algeria,1992,"Bovine tongues, frozen",129.0,9.0,9.0
46,1550,Andorra,2018,"Bovine cuts boneless, frozen",2959.412793615,185.1,185.1
47,1820,Andorra,2012,"Bovine cuts bone in, fresh or chilled",66020.0,14898.0,14898.0
48,1825,Andorra,2012,"Bovine cuts boneless, frozen",169366.0,20206.0,20206.0
49,1843,Andorra,2012,"Bovine edible offal, frozen except livers and tongues",237.0,1227.0,1227.0
50,1867,Andorra,2011,"Bovine cuts bone in, fresh or chilled",88456.0,19202.0,19202.0
51,1872,Andorra,2011,"Bovine cuts boneless, frozen",190943.0,22820.0,22820.0
52,1891,Andorra,2011,"Bovine livers, frozen",398.0,1904.0,1904.0
53,1893,Andorra,2011,"Bovine edible offal, frozen except livers and tongues",1531.0,4206.0,4206.0
54,1920,Andorra,2010,"Bovine cuts bone in, fresh or chilled",251632.0,51054.0,51054.0
55,1922,Andorra,2010,"Bovine cuts boneless, fresh or chilled",93414.0,12222.0,12222.0
56,1926,Andorra,2010,"Bovine cuts boneless, frozen",92960.0,13370.0,13370.0
57,1943,Andorra,2010,"Bovine livers, frozen",2463.0,1244.0,1244.0
58,1945,Andorra,2010,"Bovine edible offal, frozen except livers and tongues",1346.0,1112.0,1112.0
59,1970,Andorra,2009,"Bovine cuts bone in, fresh or chilled",121619.0,23668.0,23668.0
60,1972,Andorra,2009,"Bovine cuts boneless, fresh or chilled",44540.0,3839.0,3839.0
61,1976,Andorra,2009,"Bovine cuts boneless, frozen",187713.0,33924.0,33924.0
62,2019,Andorra,2008,"Bovine cuts bone in, fresh or chilled",188021.0,37914.0,37914.0
63,2023,Andorra,2008,"Bovine cuts boneless, frozen",109833.0,18392.0,18392.0
64,2064,Andorra,2007,"Bovine cuts bone in, fresh or chilled",62626.0,16632.0,16632.0
65,2068,Andorra,2007,"Bovine cuts boneless, frozen",51111.0,16715.0,16715.0
66,2109,Andorra,2006,"Bovine cuts bone in, fresh or chilled",121645.0,29192.0,29192.0
67,2113,Andorra,2006,"Bovine cuts boneless, frozen",76179.0,17966.0,17966.0
68,2129,Andorra,2006,"Bovine tongues, frozen",1928.0,441.0,441.0
69,2153,Andorra,2005,"Bovine cuts bone in, fresh or chilled",121665.0,38808.0,38808.0
70,2154,Andorra,2005,"Bovine cuts boneless, fresh or chilled",5008.0,1571.0,1571.0
71,2155,Andorra,2005,"Bovine cuts boneless, frozen",101046.0,22816.0,22816.0
72,2157,Andorra,2005,"Bovine tongues, frozen",724.0,363.0,363.0
73,2158,Andorra,2005,"Bovine edible offal, frozen except livers and tongues",492.0,2634.0,2634.0
74,2162,Andorra,2004,"Bovine cuts bone in, fresh or chilled",40830.0,13537.0,13537.0
75,2166,Andorra,2004,"Bovine cuts boneless, frozen",39644.0,33757.0,33757.0
76,2183,Andorra,2004,"Bovine tongues, frozen",1238.0,331.0,331.0
77,2185,Andorra,2004,"Bovine livers, frozen",108.0,144.0,144.0
78,2187,Andorra,2004,"Bovine edible offal, frozen except livers and tongues",450.0,2405.0,2405.0
79,2212,Andorra,2003,"Bovine cuts bone in, fresh or chilled",17148.0,8262.0,8262.0
80,2216,Andorra,2003,"Bovine cuts boneless, frozen",98697.0,35987.0,35987.0
81,2234,Andorra,2003,"Bovine edible offal, frozen except livers and tongues",942.0,640.0,640.0
82,2259,Andorra,2002,"Bovine cuts bone in, fresh or chilled",83118.0,55063.0,55063.0
83,2263,Andorra,2002,"Bovine cuts bone in, frozen",7621.0,9800.0,9800.0
84,2265,Andorra,2002,"Bovine cuts boneless, frozen",34519.0,39314.0,39314.0
85,2282,Andorra,2002,"Bovine tongues, frozen",473.0,238.0,238.0
86,2283,Andorra,2002,"Bovine livers, frozen",430.0,1685.0,1685.0
87,2285,Andorra,2002,"Bovine edible offal, frozen except livers and tongues",561.0,3280.0,3280.0
88,2312,Andorra,2001,"Bovine cuts bone in, fresh or chilled",92992.0,188784.0,188784.0
89,2314,Andorra,2001,"Bovine cuts boneless, fresh or chilled",1066.0,450.0,450.0
90,2317,Andorra,2001,"Bovine cuts boneless, frozen",42446.0,46040.0,46040.0
91,2334,Andorra,2001,"Bovine tongues, frozen",1179.0,598.0,598.0
92,2335,Andorra,2001,"Bovine livers, frozen",433.0,35114.0,35114.0
93,2337,Andorra,2001,"Bovine edible offal, frozen except livers and tongues",1660.0,8232.0,8232.0
94,2363,Andorra,2000,"Bovine cuts bone in, fresh or chilled",170923.0,89574.0,89574.0
95,2365,Andorra,2000,"Bovine cuts boneless, fresh or chilled",5965.0,3025.0,3025.0
96,2368,Andorra,2000,"Bovine cuts bone in, frozen",22527.0,24359.0,24359.0
97,2370,Andorra,2000,"Bovine cuts boneless, frozen",40758.0,26025.0,26025.0
98,2388,Andorra,2000,"Bovine edible offal, fresh or chilled",66.0,27.0,27.0
99,2390,Andorra,2000,"Bovine tongues, frozen",2172.0,785.0,785.0
100,2392,Andorra,2000,"Bovine livers, frozen",1295.0,7394.0,7394.0
101,2394,Andorra,2000,"Bovine edible offal, frozen except livers and tongues",4112.0,12594.0,12594.0
102,2655,Angola,2018,"Bovine cuts bone in, frozen",110.0,46.0,46.0
103,2657,Angola,2018,"Bovine cuts boneless, frozen",34074.0,2344.0,2344.0
104,2681,Angola,2018,"Bovine tongues, frozen",8.0,2.0,2.0
105,2709,Angola,2018,"Bovine meat salted, dried or smoked",237.45,34.0,34.0
106,2714,Angola,2017,"Bovine cuts bone in, fresh or chilled",186.12,52.0,52.0
107,2716,Angola,2017,"Bovine cuts boneless, fresh or chilled",2449.14,232.0,212.0
108,2718,Angola,2017,"Bovine carcasses and half carcasses, frozen",70.0,34.0,2.0
109,2720,Angola,2017,"Bovine cuts bone in, frozen",5467.89,360.0,205.0
110,2722,Angola,2017,"Bovine cuts boneless, frozen",19660.15,4688.65825778479,4218.65825778479
111,2749,Angola,2017,"Bovine tongues, frozen",115.76,35.0,27.0
112,2751,Angola,2017,"Bovine livers, frozen",110.99,79.0,8.0
113,2753,Angola,2017,"Bovine edible offal, frozen except livers and tongues",236.25,116.0,12.0
114,2787,Angola,2017,"Bovine meat salted, dried or smoked",1937.19,301.0,336.0
115,2790,Angola,2016,"Bovine carcasses and half carcasses, fresh or chilled",253.19,99.0,51.0
116,2792,Angola,2016,"Bovine cuts bone in, fresh or chilled",71.2,25.0,20.0
117,2795,Angola,2016,"Bovine carcasses and half carcasses, frozen",1063.79,129.0,129.0
118,2797,Angola,2016,"Bovine cuts bone in, frozen",33.43,39.0,30.0
119,2799,Angola,2016,"Bovine cuts boneless, frozen",1980.04,3144.0,534.0
120,2823,Angola,2016,"Bovine tongues, frozen",24.21,10.0,12.0
121,2825,Angola,2016,"Bovine livers, frozen",74.7,13.0,15.0
122,2827,Angola,2016,"Bovine edible offal, frozen except livers and tongues",2281.39,1398.0,682.0
123,2863,Angola,2016,"Bovine meat salted, dried or smoked",1495.67,1449.0,177.0
124,2868,Angola,2015,"Bovine cuts bone in, fresh or chilled",1981.34,378.0,2578.0
125,2870,Angola,2015,"Bovine cuts boneless, fresh or chilled",5017.07,1035.0,1035.0
126,2873,Angola,2015,"Bovine cuts bone in, frozen",1801.03,1480.0,1324.0
127,2875,Angola,2015,"Bovine cuts boneless, frozen",25877.75,16920.0,6222.0
128,2903,Angola,2015,"Bovine tongues, frozen",108.92,89.0,89.0
129,2905,Angola,2015,"Bovine livers, frozen",11948.15,15000.0,1500.0
130,2907,Angola,2015,"Bovine edible offal, frozen except livers and tongues",15004.45,9222.0,1048.0
131,2941,Angola,2015,"Bovine meat salted, dried or smoked",567.25,455.0,451.0
132,3322,Anguilla,2007,"Bovine cuts bone in, fresh or chilled",6742.0,1538.0,1538.0
133,3324,Anguilla,2007,"Bovine cuts boneless, fresh or chilled",3527.0,781.0,781.0
134,3327,Anguilla,2007,"Bovine cuts bone in, frozen",4202.0,820.0,820.0
135,3329,Anguilla,2007,"Bovine cuts boneless, frozen",12767.0,2984.0,2984.0
136,3409,Anguilla,2004,"Bovine cuts boneless, frozen",1657.0,653.0,653.0
137,3595,Antigua and Barbuda,2018,"Bovine cuts boneless, frozen",85.1851,20.0,20.0
138,3596,Antigua and Barbuda,2018,"Bovine cuts boneless, frozen",85.1851,20.0,20.0
139,3707,Antigua and Barbuda,2016,"Bovine cuts boneless, frozen",230.0,36.0,36.0
140,3708,Antigua and Barbuda,2016,"Bovine cuts boneless, frozen",230.0,36.0,36.0
141,3804,Antigua and Barbuda,2014,"Bovine cuts boneless, fresh or chilled",780.0,32.0,32.0
142,3805,Antigua and Barbuda,2014,"Bovine cuts boneless, fresh or chilled",780.0,32.0,32.0
143,3808,Antigua and Barbuda,2014,"Bovine cuts boneless, frozen",12259.0,2500.0,2500.0
144,3809,Antigua and Barbuda,2014,"Bovine cuts boneless, frozen",12259.0,2500.0,2500.0
145,3867,Antigua and Barbuda,2014,"Bovine meat salted, dried or smoked",147.0,109.0,109.0
146,3868,Antigua and Barbuda,2014,"Bovine meat salted, dried or smoked",147.0,109.0,109.0
147,3926,Antigua and Barbuda,2012,"Bovine cuts boneless, fresh or chilled",15.0,5.0,5.0
148,3927,Antigua and Barbuda,2012,"Bovine cuts boneless, fresh or chilled",15.0,5.0,5.0
149,3946,Antigua and Barbuda,2012,"Bovine edible offal, frozen except livers and tongues",278.0,114.0,114.0
150,3947,Antigua and Barbuda,2012,"Bovine edible offal, frozen except livers and tongues",278.0,114.0,114.0
151,3984,Antigua and Barbuda,2011,"Bovine cuts bone in, fresh or chilled",268.0,71.0,71.0
152,3985,Antigua and Barbuda,2011,"Bovine cuts bone in, fresh or chilled",268.0,71.0,71.0
153,3987,Antigua and Barbuda,2011,"Bovine cuts boneless, fresh or chilled",123.0,56.0,56.0
154,3988,Antigua and Barbuda,2011,"Bovine cuts boneless, fresh or chilled",123.0,56.0,56.0
155,3992,Antigua and Barbuda,2011,"Bovine cuts boneless, frozen",661.0,92.0,92.0
156,3993,Antigua and Barbuda,2011,"Bovine cuts boneless, frozen",661.0,92.0,92.0
157,4070,Antigua and Barbuda,2010,"Bovine edible offal, frozen except livers and tongues",151.0,93.0,93.0
158,4071,Antigua and Barbuda,2010,"Bovine edible offal, frozen except livers and tongues",151.0,93.0,93.0
159,4109,Antigua and Barbuda,2009,"Bovine cuts boneless, fresh or chilled",3429.0,176.0,176.0
160,4110,Antigua and Barbuda,2009,"Bovine cuts boneless, fresh or chilled",3429.0,176.0,176.0
161,4300,Antigua and Barbuda,2000,"Bovine cuts bone in, frozen",307.0,361.0,361.0
162,4301,Antigua and Barbuda,2000,"Bovine cuts bone in, frozen",307.0,361.0,361.0
163,4303,Antigua and Barbuda,2000,"Bovine cuts boneless, frozen",4672.0,1169.0,1169.0
164,4304,Antigua and Barbuda,2000,"Bovine cuts boneless, frozen",4672.0,1169.0,1169.0
165,4333,Antigua and Barbuda,2000,"Bovine edible offal, frozen except livers and tongues",26.0,10.0,10.0
166,4334,Antigua and Barbuda,2000,"Bovine edible offal, frozen except livers and tongues",26.0,10.0,10.0
167,4384,Antigua and Barbuda,2000,"Bovine meat salted, dried or smoked",349.0,103.0,103.0
168,4385,Antigua and Barbuda,2000,"Bovine meat salted, dried or smoked",349.0,103.0,103.0
169,4387,Antigua and Barbuda,1999,"Bovine carcasses and half carcasses, fresh or chilled",308.0,61.0,61.0
170,4388,Antigua and Barbuda,1999,"Bovine carcasses and half carcasses, fresh or chilled",308.0,61.0,61.0
171,4391,Antigua and Barbuda,1999,"Bovine cuts boneless, fresh or chilled",247.0,51.0,51.0
172,4392,Antigua and Barbuda,1999,"Bovine cuts boneless, fresh or chilled",247.0,51.0,51.0
173,4394,Antigua and Barbuda,1999,"Bovine carcasses and half carcasses, frozen",132.0,27.0,27.0
174,4395,Antigua and Barbuda,1999,"Bovine carcasses and half carcasses, frozen",132.0,27.0,27.0
175,4397,Antigua and Barbuda,1999,"Bovine cuts bone in, frozen",868.0,62.0,62.0
176,4398,Antigua and Barbuda,1999,"Bovine cuts bone in, frozen",868.0,62.0,62.0
177,4400,Antigua and Barbuda,1999,"Bovine cuts boneless, frozen",4843.0,874.0,874.0
178,4401,Antigua and Barbuda,1999,"Bovine cuts boneless, frozen",4843.0,874.0,874.0
179,4436,Antigua and Barbuda,1999,"Bovine edible offal, fresh or chilled",14.0,13.0,13.0
180,4437,Antigua and Barbuda,1999,"Bovine edible offal, fresh or chilled",14.0,13.0,13.0
181,4441,Antigua and Barbuda,1999,"Bovine edible offal, frozen except livers and tongues",1619.0,402.0,402.0
182,4442,Antigua and Barbuda,1999,"Bovine edible offal, frozen except livers and tongues",1619.0,402.0,402.0
183,4491,Antigua and Barbuda,1999,"Bovine meat salted, dried or smoked",1074.0,441.0,441.0
184,4492,Antigua and Barbuda,1999,"Bovine meat salted, dried or smoked",1074.0,441.0,441.0
185,4496,Argentina,2018,"Bovine cuts bone in, fresh or chilled",36743.35,3465.07,3465.07
186,4498,Argentina,2018,"Bovine cuts boneless, fresh or chilled",740558499.98,86831854.6,86831854.6
187,4501,Argentina,2018,"Bovine cuts bone in, frozen",2338011.16,2012533.0,2012533.0
188,4504,Argentina,2018,"Bovine cuts boneless, frozen",1188944122.13,276805402.9,276805402.9
189,4522,Argentina,2018,"Bovine edible offal, fresh or chilled",681858.1,97527.94,97527.94
190,4524,Argentina,2018,"Bovine tongues, frozen",31154194.42,6671503.8,6671503.8
191,4525,Argentina,2018,"Bovine livers, frozen",39911228.97,29285000.0,29285000.0
192,4527,Argentina,2018,"Bovine edible offal, frozen except livers and tongues",126611367.7,58250575.0,58250575.0
193,4551,Argentina,2017,"Bovine cuts bone in, fresh or chilled",435930.54,53004.88,53004.88
194,4553,Argentina,2017,"Bovine cuts boneless, fresh or chilled",659658751.51,70627557.44,70627557.44
195,4555,Argentina,2017,"Bovine cuts bone in, frozen",13673281.49,4599097.95,4599097.95
196,4557,Argentina,2017,"Bovine cuts boneless, frozen",622451498.25,133297190.59,133297190.59
197,4569,Argentina,2017,"Bovine edible offal, fresh or chilled",425379.32,59605.38,59605.38
198,4571,Argentina,2017,"Bovine tongues, frozen",15370152.42,4601672.29,4601672.29
199,4574,Argentina,2017,"Bovine livers, frozen",38966371.98,26524339.83,26524339.83
200,4577,Argentina,2017,"Bovine edible offal, frozen except livers and tongues",106851353.27,51555203.43,51555203.43
201,4605,Argentina,2016,"Bovine cuts bone in, fresh or chilled",112679.17,15332.84,15332.84
202,4607,Argentina,2016,"Bovine cuts boneless, fresh or chilled",601276481.01,63110124.93,63110124.93
203,4609,Argentina,2016,"Bovine cuts bone in, frozen",14068824.26,4743353.64,4743353.64
204,4611,Argentina,2016,"Bovine cuts boneless, frozen",413238149.78,86556206.96,86556206.96
205,4623,Argentina,2016,"Bovine edible offal, fresh or chilled",355612.36,49119.7,49119.7
206,4624,Argentina,2016,"Bovine tongues, frozen",11355527.11,5138283.54,5138283.54
207,4625,Argentina,2016,"Bovine livers, frozen",25855503.6,21502164.0,21502164.0
208,4626,Argentina,2016,"Bovine edible offal, frozen except livers and tongues",82503535.25,45987954.5,45987954.5
209,4651,Argentina,2015,"Bovine cuts bone in, fresh or chilled",7719.0,1014.0,1014.0
210,4653,Argentina,2015,"Bovine cuts boneless, fresh or chilled",506817391.66,55028432.76,55028432.76
211,4655,Argentina,2015,"Bovine cuts bone in, frozen",916819.67,551867.51,551867.51
212,4657,Argentina,2015,"Bovine cuts boneless, frozen",356090514.27,75916336.12,75916336.12
213,4672,Argentina,2015,"Bovine edible offal, fresh or chilled",96467.86,14751.43,14751.43
214,4674,Argentina,2015,"Bovine tongues, frozen",15426216.4,5478194.07,5478194.07
215,4675,Argentina,2015,"Bovine livers, frozen",27823637.84,27242224.3,27242224.3
216,4676,Argentina,2015,"Bovine edible offal, frozen except livers and tongues",76605776.27,45570754.22,45570754.22
217,4703,Argentina,2014,"Bovine cuts bone in, fresh or chilled",8681.95,1458.9,1458.9
218,4705,Argentina,2014,"Bovine cuts boneless, fresh or chilled",663046552.11,63829551.67,63829551.67
219,4707,Argentina,2014,"Bovine cuts bone in, frozen",2409570.85,884666.43,884666.43
220,4709,Argentina,2014,"Bovine cuts boneless, frozen",373325114.04,74318069.21,74318069.21
221,4720,Argentina,2014,"Bovine edible offal, fresh or chilled",126689.86,17252.49,17252.49
222,4721,Argentina,2014,"Bovine tongues, frozen",23949550.69,4550080.8,4550080.8
223,4723,Argentina,2014,"Bovine livers, frozen",31455780.03,23055841.4,23055841.4
224,4726,Argentina,2014,"Bovine edible offal, frozen except livers and tongues",101013225.56,49057054.71,49057054.71
225,4752,Argentina,2013,"Bovine cuts bone in, fresh or chilled",86635.0,21050.0,21050.0
226,4754,Argentina,2013,"Bovine cuts boneless, fresh or chilled",656404981.0,65671603.0,65671603.0
227,4756,Argentina,2013,"Bovine cuts bone in, frozen",16653966.0,4085282.0,4085282.0
228,4758,Argentina,2013,"Bovine cuts boneless, frozen",320153142.0,59326866.0,59326866.0
229,4771,Argentina,2013,"Bovine edible offal, fresh or chilled",182764.0,29051.0,29051.0
230,4772,Argentina,2013,"Bovine tongues, frozen",26102702.0,4823062.0,4823062.0
231,4773,Argentina,2013,"Bovine livers, frozen",26100462.0,23622826.0,23622826.0
232,4775,Argentina,2013,"Bovine edible offal, frozen except livers and tongues",112527017.0,50401625.0,50401625.0
233,4801,Argentina,2012,"Bovine cuts bone in, fresh or chilled",68275.0,14996.0,14996.0
234,4803,Argentina,2012,"Bovine cuts boneless, fresh or chilled",688670710.0,64078461.0,64078461.0
235,4805,Argentina,2012,"Bovine cuts bone in, frozen",1407773.0,342490.0,342490.0
236,4807,Argentina,2012,"Bovine cuts boneless, frozen",303373248.0,47340275.0,47340275.0
237,4824,Argentina,2012,"Bovine edible offal, fresh or chilled",146125.0,21428.0,21428.0
238,4825,Argentina,2012,"Bovine tongues, frozen",25266396.0,4717456.0,4717456.0
239,4826,Argentina,2012,"Bovine livers, frozen",30965381.0,20931140.0,20931140.0
240,4828,Argentina,2012,"Bovine edible offal, frozen except livers and tongues",108981163.0,44670197.0,44670197.0
241,4855,Argentina,2011,"Bovine cuts bone in, fresh or chilled",17270.0,1570.0,1570.0
242,4857,Argentina,2011,"Bovine cuts boneless, fresh or chilled",731769132.0,63070392.0,63070392.0
243,4859,Argentina,2011,"Bovine cuts bone in, frozen",18887211.0,4846658.0,4846658.0
244,4861,Argentina,2011,"Bovine cuts boneless, frozen",403526772.0,61832655.0,61832655.0
245,4878,Argentina,2011,"Bovine edible offal, fresh or chilled",43214.0,5750.0,5750.0
246,4879,Argentina,2011,"Bovine tongues, frozen",25415932.0,5162261.0,5162261.0
247,4880,Argentina,2011,"Bovine livers, frozen",32450659.0,19576896.0,19576896.0
248,4881,Argentina,2011,"Bovine edible offal, frozen except livers and tongues",107907647.0,43545001.0,43545001.0
249,4909,Argentina,2010,"Bovine cuts bone in, fresh or chilled",10025.0,1591.0,1591.0
250,4911,Argentina,2010,"Bovine cuts boneless, fresh or chilled",631137889.0,62350576.0,62350576.0
251,4913,Argentina,2010,"Bovine cuts bone in, frozen",8005369.0,2598355.0,2598355.0
252,4915,Argentina,2010,"Bovine cuts boneless, frozen",409859618.0,89829016.0,89829016.0
253,4931,Argentina,2010,"Bovine edible offal, fresh or chilled",18642.0,2079.0,2079.0
254,4932,Argentina,2010,"Bovine tongues, frozen",18958043.0,4530403.0,4530403.0
255,4934,Argentina,2010,"Bovine livers, frozen",25810813.0,20920000.0,20920000.0
256,4937,Argentina,2010,"Bovine edible offal, frozen except livers and tongues",82849539.0,44426325.0,44426325.0
257,4968,Argentina,2009,"Bovine carcasses and half carcasses, fresh or chilled",256869.0,180601.0,180601.0
258,4970,Argentina,2009,"Bovine cuts bone in, fresh or chilled",41040.0,31982.0,31982.0
259,4972,Argentina,2009,"Bovine cuts boneless, fresh or chilled",711222229.0,105512205.0,105512205.0
260,4974,Argentina,2009,"Bovine cuts bone in, frozen",16077166.0,6613443.0,6613443.0
261,4976,Argentina,2009,"Bovine cuts boneless, frozen",802544102.0,267013164.0,267013164.0
262,4995,Argentina,2009,"Bovine edible offal, fresh or chilled",130688.0,35579.0,35579.0
263,4997,Argentina,2009,"Bovine tongues, frozen",19445248.0,7434839.0,7434839.0
264,5000,Argentina,2009,"Bovine livers, frozen",28964710.0,35774927.0,35774927.0
265,5003,Argentina,2009,"Bovine edible offal, frozen except livers and tongues",97993691.0,66629238.0,66629238.0
266,5033,Argentina,2008,"Bovine cuts bone in, fresh or chilled",243424.0,117488.0,117488.0
267,5035,Argentina,2008,"Bovine cuts boneless, fresh or chilled",826170988.0,77745288.0,77745288.0
268,5038,Argentina,2008,"Bovine cuts bone in, frozen",19251516.0,7803922.0,7803922.0
269,5040,Argentina,2008,"Bovine cuts boneless, frozen",523146351.0,136514297.0,136514297.0
270,5055,Argentina,2008,"Bovine edible offal, fresh or chilled",268856.0,178989.0,178989.0
271,5058,Argentina,2008,"Bovine tongues, frozen",18568223.0,5316127.0,5316127.0
272,5061,Argentina,2008,"Bovine livers, frozen",24087508.0,21076520.0,21076520.0
273,5064,Argentina,2008,"Bovine edible offal, frozen except livers and tongues",85365415.0,50773669.0,50773669.0
274,5090,Argentina,2008,"Bovine meat salted, dried or smoked",506.0,30.0,30.0
275,5095,Argentina,2007,"Bovine cuts bone in, fresh or chilled",864043.0,475946.0,475946.0
276,5097,Argentina,2007,"Bovine cuts boneless, fresh or chilled",790060458.0,121935973.0,121935973.0
277,5099,Argentina,2007,"Bovine cuts bone in, frozen",6925733.0,3876509.0,3876509.0
278,5101,Argentina,2007,"Bovine cuts boneless, frozen",411481274.0,170803488.0,170803488.0
279,5115,Argentina,2007,"Bovine edible offal, fresh or chilled",307430.0,335858.0,335858.0
280,5117,Argentina,2007,"Bovine tongues, frozen",14255166.0,6776391.0,6776391.0
281,5119,Argentina,2007,"Bovine livers, frozen",21589850.0,24574955.0,24574955.0
282,5121,Argentina,2007,"Bovine edible offal, frozen except livers and tongues",61177638.0,58330346.0,58330346.0
283,5147,Argentina,2007,"Bovine meat salted, dried or smoked",4817.0,320.0,320.0
284,5151,Argentina,2006,"Bovine cuts bone in, fresh or chilled",62110.0,13081.0,13081.0
285,5153,Argentina,2006,"Bovine cuts boneless, fresh or chilled",566045770.0,88430679.0,88430679.0
286,5156,Argentina,2006,"Bovine cuts bone in, frozen",19182876.0,10764434.0,10764434.0
287,5158,Argentina,2006,"Bovine cuts boneless, frozen",530800582.0,216550421.0,216550421.0
288,5174,Argentina,2006,"Bovine edible offal, fresh or chilled",127113.0,113929.0,113929.0
289,5175,Argentina,2006,"Bovine tongues, frozen",11820577.0,4615522.0,4615522.0
290,5177,Argentina,2006,"Bovine livers, frozen",20560144.0,22293441.0,22293441.0
291,5180,Argentina,2006,"Bovine edible offal, frozen except livers and tongues",42446858.0,41890141.0,41890141.0
292,5215,Argentina,2006,"Bovine meat salted, dried or smoked",880.0,58.0,58.0
293,5220,Argentina,2005,"Bovine cuts bone in, fresh or chilled",129272.0,28111.0,28111.0
294,5222,Argentina,2005,"Bovine cuts boneless, fresh or chilled",583247587.0,128066960.0,128066960.0
295,5224,Argentina,2005,"Bovine cuts bone in, frozen",12398169.0,9210589.0,9210589.0
296,5226,Argentina,2005,"Bovine cuts boneless, frozen",574536648.0,300055881.0,300055881.0
297,5243,Argentina,2005,"Bovine edible offal, fresh or chilled",28984.0,10163.0,10163.0
298,5245,Argentina,2005,"Bovine tongues, frozen",5831996.0,3697703.0,3697703.0
299,5247,Argentina,2005,"Bovine livers, frozen",14001959.0,21413998.0,21413998.0
300,5249,Argentina,2005,"Bovine edible offal, frozen except livers and tongues",26510842.0,35383163.0,35383163.0
